lexical_unit,pos,gloss,variant,audio_file,example_sentence,translation
gungan.gin,Pronoun,"his, hers, its",,,,
ngaringgirrman,Adjective,"circular, round",,,,
namu-warang,Adjective,"dirty person, dirty bugger",,namu-warang.wav,namu-warang ya-jingin,He is dirty.
yaniman,Adjective,thus,,,,
bud,Coverb,"to roast (i.e. put under coals to cook)",budba,bud.wav,Bud yawurr-gin mayin yord-ya.,They put tucker under the ashes.
yijarlo-warr,Adjective,sometimes,,yijarlo-warr_sentence_yijarlo-warra-wirrb-wirrb-wunggunburr-mendi-warnarrin-yi.wav,Yijarlo-warra wirrb wirrb wunggunburr-mendi warnarrin-yi.,Sometimes they wiped them with fat.
ba-,Verb,"burn, cook, be thirsty",,,marninggani ya-ban ngarraba.,The sun is burning hot.
nan-yi,Demonstrative,"that, [Ergative case]",,,,
dirrimid,Coverb,"put across",,dirrimid.wav,dirrimid ngadjingin lagla-ya,We are closed in our camp.
gundiyangarra,Noun,"`rainbird', check id. again **",,,,
budu,Coverb,"beat leg ([Inclusive] keeping time)",,,,
nungguru,Noun,hand,,nungguru.wav,"nungguru ngadagbarlan mayin-gu nguyiyin, bornborn-gu","We have hands for tucker to eat,, for batheing"
manyin,Noun,lily corm,,,Elsie Raymond wrr050,
gulijban,Noun,tree,,,gulijban; wiyan yumin-ya ya-jingin.ga wumiri-ya,"Gulijban, where the water is in the tree roots."
birradba,Coverb,"calm, sad",,yirradba.wav,"Birradba na yawudjingin, lowaglowa-biji Wonggo menyin menyin yawurr-yana","They are calm now, they just play, they don't get cross."
gaba,Interjection,"attention getting `hey', `come on'",,gaba_sentence_gaba-nyanga-gunya-dawurlanma.wav,Gaba nyanga gunya dawurlanma.,"Try to come that way, away from him."
barrunin,Noun,fish,,,barrunin yirr-ginyen minyard-ja,We cook the fish in the charcoal.
jambugarrag,Adjective,left-hand(ed),"wu-jambugarrag wu- class on the left, etc.",,,
warnarr-wujban,Noun,"sorcerer",,warnarr-wujban.wav,"Warnarr-wujban yilamagan warnarr-yi, yilamagan warnaba","It's a sorcerer, maybe using fat, or maybe a spirit."
junggu,Noun,"elbow",,junggu.wav,,
borninggiya,Noun,"a type of toxic poison used to kill someone, often carried by men [Inclusive] a dillybag around the neck",,borninggiya.wav,,
bulg,Coverb,"pound",bulgbulg,,bulgbulg yirr-bun yinyalugin-gurne,We pound it (to make it) soft.
yirrug,Pronoun,[1st Exclusive Plural],,,,
-gunya,DR,"3 [Dissociative]",-wunya,,ngan-dagbarla wurrugunya.,Keep me (look after me) away from them.
warnang,Coverb,"be stupified, `drunk', stunned (as fish from poison)",,,warnang ya-jingin,It hides in the weeds.
gimiyiyn,Noun,name,,,,
yingol,Noun,"well, soak",jiyl,yingol.wav,Wiyan bogbog yirr-ngun na yingol-wunba.,We dip out the water from the well.
biyirrin,Noun,"honey sop grass",,,,
malaglan,Noun,bird's nest,,,,
Giwnin,Noun,Giwnin,,,,
yimid,Noun,subsection,,,,
ginye-,Verb,"cook, illuminate, burn, heat",,,ngayugu nga-dagbarlarri onion Dorij-ji  ginyerriya layin,"I had onion, Doris was cooking meat."
dow,Coverb,"shoot",,,,
bumbang,Coverb,"emerge from water",,,ngabulg we-ndi-ya  werr bumbang nyanga-ndi-ya gila,"He went under, and came out"
jarnarran,Noun,pelican,,,,
gayawarr,Adverb,nearly,,gayawarr.wav,Gayawarr ngawun-darri marlarluga.,I nearly saw the old people.
giyarla,Noun,nosepeg,,giyarla.wav,Wurr-mendiyawu yumin bag gajurriyawu  wurr-yidbarriya SHARP-fella wurr-marnburriya yijurn-ya warljub wurr-gindiya,"They got a stick, it was broken, they whittled it and made it sharp, they put it in their noses"
gejbarla,Verb,ask,,gejbarla_sentence_ngan-gejbarlarri.wav,Ngan-gejbarlarri wumunburra-wu.,"He asked me (for money,)."
mindig,Coverb,"pinch","mindigmindig, mindigba",mindigba_sentence_mindigba-nganburr-mendiya.wav,Mindigba nganburr-mendiya.,They pinched me.
derlerlgba,Coverb,be a pool of water; serve,,,derlerlgba jingindiya wiyan,There was a pool of water.
delamere,Noun,Delamere station,,,,
wungij,Noun,"dark, darkness",,,"Wonggo wuja nunu-marnbun ngawun, nu-jingi wungij-a","Don't make a fire, no, you sit in the dark."
murrudeni,Coverb,"to rain heavily, shower profusely",,638546267443634247A LexExampleSentence.wav,murrudeni ye-wen wiyan,A lot of rain is falling.
durdurrb-ngana,Noun,"doctor",,,,
jinjinbu-,Verb,"give work to, lay tasks upon",,,"jinjinbundiya ya yinyeng, nga-jingin ngayugu dan-ya lagla-ya","He gave a job to him, I'll stay in camp here."
jabawi,Noun,river fig,,,"Yiwarnwarnin yarlarrg, jabawi wurr-ngundiya","A long  leaf, jabawi, they ate it."
yijerrngmarnan,Adjective,crybaby,,,,
Warlarlambi,Noun,"place of Willeroo",,,,
Gomnyang,Noun,"personal name, Ruby Allison",,,,
warlarlab,Coverb,"put girl on legs",,,"warlarlab wurr-gindiya wardirrg marluga-ya, ledba na, dana yinggawun yingawuyu","They put the girl on his legs, look, this is your wife."
yingunburr-,pronominal,"[3rd Plural]/[1st Exclusive Plural]",,,,
mondojba,Coverb,bend down;,,638546165457339800A LexExampleSentence.wav,mondojba duba ya-jingin; yawurr-bujun walanja,"They are sitting, digging goanna."
-ya,Verb,"Past tense Tag",,,wu,
digiylma,Coverb,"roll",,,gorodogordog digidigiylma yanja ngarlaga-warra,Gordogordog rolls with his head.
gononnga,Noun,file snake,,,,
bong,Coverb,"break",,,,
ngorr,Coverb,"grind, crush;",ngorrma,,Jabalawarna-ya ngorrma yawurr-men liwin,They crush it on a flat rock. (ochre)
Wumanngegba,Noun,"place name",,,,
yingyi,Noun,name,,638336267224525143A LexExampleSentence.wav,"wudugurlaman nga-jingindi, yaningbarra na yingyi nganburr-gindi","I was small, that's when they gave me a name."
narrangarlma,Coverb,protrude,,638546286660708390A LexExampleSentence.wav,narrangarlma yawudjingin yijili yawurrgajun.ga mugurn-gunba,They got wild hair when they get up from sleep.
jalug,Coverb,"be keen, ready to",,,"nganun-waja, nganja-wan, jalug nga-yana yilgbayi, yarrarrama mejern","I leave you, as I go, I'm ready to go, I'm happy."
yidumul,Noun,heart,,yidumul.wav,Yidalbirrman ya-jingin.ga yidumul yilgbayi.,"When it is strong, the heart is good."
lurle-wujban,Noun,"crybaby",,lurle-wujban.wav,,
geremerr,Noun,"headband, from wele, now rag",,,SW does not know,
milyg,Coverb,"beat, of heart, [Inclusive] concern for, with apprehension, `heartcrack'",milyg(bilygba),638545441305287886A LexExampleSentence.wav,milyg nga-yanarri,I `heart-cracked'.
nirriwman,Noun,cicada,,,,
bulgubulgumin,Noun,"middle (child)",,,,
dalbirrman,Adjective,"hard, tough, strong",,dalbirrman_sentence_yidalbirrman-yumin.wav,yidalbirrman yumin,a strong tree
mundud,Coverb,"trip",,,mundud ngan-gindi yarlarrg-ji,A branch tripped me.
junybi,Noun,until dark,,,,
-ny,Verb,"[Past]",,,,
dang-guyugun,Adverb,on the other side,,,,
bid,Coverb,"turn","bidba, bidba-yi",bidba_sentence_bidba-yanja.wav,Bidba yanja.,He turns.
larraja lardaja,Noun,skink goanna; prob. ridge-tailed goanna,,638495219626000236A LexExampleSentence.wav,yumin-ya barrwa ya-jingin wonggo dan.ganud-ba ngawun,"lardaja blanket lizard, it lives down below not from these trees her"
ngorlogba,Coverb,talk,,ngorlogba_sentence_wonggo-ngorlogba-yayi-jingin-ngawun.wav,"Wonggo ngorlogba yayi-jingin, ngawun.","He doesn't talk, nothing."
o,Conjunction,or,,,,
dadalman,Adjective,"full, replete",,,"Ngayugu yidadalman, jornog nga-ngundi.","I am full up, I ate my fill."
gilirringa,Noun,yellow paint,,,,
manag,Noun,spinifex,,,,
barragarl,Noun,"spear, bamboo spear",,barragarl.wav,wire yawurr-gin  barragarl-ya,They put a wire in the bamboo spear.
lorrb,Coverb,"hit ribs",lorrblorrb,638495288939702410A LexExampleSentence.wav,"Bongorrgba lorrb larriya yiwol-yi marluga, bongorrgba-wujban.",The shade bit the sleeping old man on the ribs.
doynman,Adjective,crooked,,,,
jajayma,Coverb,"get weak",,,"jajayma ya-yu, yilamagan wonggo yayi-gajun, mayin-gu wonggo yanja mayin-gu warrgban, warlad ya-nyay-ma, wunma nga-yu","He is weak, maybe , him hurtim, he is hurting,"
yingarrangarraman,Adjective,"drunken, like a drunken person",,,ngarrangarraman nyangandi,
junuyn,Adjective,"real, proper",yunuyn,,,
warramalgba,Coverb,"overturn",,,yiwalng warramalgba ya-wudba yiwarlng,Him chuckim bat rubbish
mijirr,Noun,"billy goat plum",,638545428478037292A LexExampleSentence.wav,mijirr nana yirr-ngun julu-ya ya-yu,"We eat that mijirr, it's on hills."
denggerrengma,Coverb,"empty out",,,,
ledbarna-,Verb,"to see, [verbal inflection]",,638495227063582244A LexExampleSentence.wav,,"looking at bugger, he looks"
wagwag,Noun,crow,,,ya-gaygbagaygba layin-gu,him sing out for me
yawunggin,Pronoun,ours [1st Inclusive Dual],,,,
Hole,Noun,Hole,,,as in Johnson Hole?,
jigirrija,Noun,willy wagtail,,,Jigirrija-yi marnburriya ginydan  Gujingga ngendiya dabdaba jingindiya,"Willie wagtail made the stone spears, he sang gujiga and danced"
worlgba-,Verb,"roil (water), fill im up billy",,,yibumbu ya-worlgba wiyan,Him fillim up billy with water
jajali-wujban,Noun,one who keeps coming (back),,,,
Mele,Noun,personal name,,,,
wunedoyn,Adjective,"crooked",,,,
dulyurr,Coverb,"break, burst, bust, crumble, settle down","dulyurrma, dulyurrdulyurr",dulyurr.wav,Dulyurrma mendi jabalawarna-ya,She busted it on the flat rock.
werlyerr,Coverb,hang down,,,ganben werlyelrr ya-yu yum-nya,The flying foxes are hanging down in the tree..
namu,Noun,"to be dirty; filth, dirt",,namu.wav,"Bornborn wagbawun, namu ngarr-men, namu-warang ngad-jingin.","No batheing, we are dirty, we have dirt on us."
delguj,Coverb,"limp, be lame",delgujba,delgujba_sentence_delgujdelgujba-yanja.wav,Delgujdelgujba yanja.,He limps.
lub(ba),Coverb,"grab, wrestle",,638495312899806225A LexExampleSentence.wav,"yibiyan-yi lub mendi bangbun, wonggo yi-ngani-men, ngayiynja jirri-warnag, yi-ngangbu yinggi yanarri yibiyan.","The man grabbed the woman; you can't grab me, you can't grab me; I'll hit you,, said the man."
wojbarna-,Verb,"listen to , feel",,,,
gurigurib,Noun,"type of sand slug, *",,,,
nyej,Verb,"stab, poke, hit ('killim'), fall",,,nyej bu nana wurren yijordjordin,hit that crazy kid.
yijili,Noun,hair,,yijili.wav,Yijili yin.gun-bun.,straight hair
belwu-,Verb,"slice",,belwu_sentence_yi-belwun.wav,Yi-belwun.,You slice it.
ngarrugun.gin,Pronoun,ours [Inclusive Plural],,,,
birral,Adjective,"dried up, overripe",,birral_sentence_wubirral-wurne-layin.wav,"wubirral wurne, layin","dried up bones, meat"
mardumardu,Noun,"antbed, large size",,638545320040640496A LexExampleSentence.wav,"yirr-mendiya wurre-wu mardumardu yijad wuja-ya bud yirr-bundiya, bandiya","We got mardumardu for kids, we put it under the fire, it cooked."
ngarrugu,Pronoun,[1st Inclusive Plural] [Genitive],,,,
badadiya,Noun,"ring place, play corroboree, [Inclusive] anticipation of further arrivals",,,ngarrya-wan dawurlan warrba ngadjingiwe badadi-ya,Let's go there all of us sit there at the ring place
Gurlwong,Noun,"place on Willeroo, Rhona",,,,
woloba,Coverb,"be awake",,worloba_sentence_worloba-ya-jingin.wav,"Woloba ya-jingin, wonggo yayi-gurrgba, ngamanda-warda girr ya-gan, mogurn wagbawun","He's awake (e.g. because he's afraid.), he can't sleep"
yiburu,Noun,"black rain, as ngurlu",,,"yiburu, yidewman marlnga","Yiburu, the cloud is white"
wulirr-wa,Adverb,"on the side",,wulirr-wa_sentence_wulirr-wa-yanja-nana-mernden-ngamanda-warda.wav,"Wulirr-wa yanja nana mernden, ngamanda-warda?","That whitefella is going along the side, what for?"
ngamayag,Noun,"diarrhoea",,ngamayag.wav,Ngamayag-garang nana wurren.,That child has diarrhoea.
warlban,Coverb,"go walk around asking; somewhere",,,warlban yanja gejgej-mala yilamagan wumunburra-wu,"He goes around asking, maybe for money."
dunggululu,Noun,"pubic covering, man & woman",,,,
yu,Pronoun,"you, English",,,,
warliwun,Noun,hairbelt,,,wurr-mendiya sheet dogdog wurr-bundiya nanba-wan wurr-gindiya warliwun marraj 3:26 marrb wurr-meyirriya,
mindiwirrin,Noun,used for making boomerangs,,,"Buran wurr-marnburriya, mindiwirrin wuliynjerriya","They made boomerangs, they cut Hakea (arborescens)."
ngenyung,Coverb,"poke or flick tongue at",,,ngenyung mala ngan-dan,He pokes his tongue at me.
marla,Adverb,"[Iterative], [Inchoative]",,,,
ga-,Verb,"to take",,,,
yingaba,Noun,"brother; father's brother's son (female Ego)",,,,
Jarnarraya,Noun,Jarnarraya,,,Jarnarra-ya nanawunyin wiyan ya-nyangan.ga darni jongon-ba Giw- Bulanin-ba,"Jarnarra-ya, that same water coming from the north there from Giw- from Bulnanin."
ngawun-,PROPRE,"I/they, [1st Singular]/[3rd Plural]",,,,
labajurr,Coverb,"strike on shoulder",,638495192939745166A LexExampleSentence.wav,,He hit him on the shoulder
jangangama,Coverb,open-mouthed,,,barrunin jangangama nyangandi wiya-wa,The fish came out of the water open-mouthed.
jarlarla,Noun,hollow log,,,gordogordog jarlarla-ya ya-yu,Gordogordog lives in hollow logs.
yimungguj,Noun,"triadic term, by `granny' to `granny', husband",,,Ngawun yimungguj wagbawun,"nothing, she has no husband. [does not clarify]"
maguyang,Noun,old yam,,,,
Yiwangarlangarlay,Noun,Paddy's Spring,,,,
Gongodjang,Noun,"name, Michael Raymond",,,,
yibiyan,Noun,"man, person, Aborigine",,,,
munang,Noun,person with same name as another,,,"munang ngunung, yirruguya yingi lege","my munang, we have one name"
yid-,pronominal,"[1st Exclusive Plural]",,,,
jonbong,Coverb,"chop off",,,jonbongma mendi gagawli,"She pulled it out, it broke half."
Jemen,Noun,name,,,,
muragin,Noun,"shade, boughshade",,638546260257105538A LexExampleSentence.wav,,murag-ja ya-jingin marluga dawuma
yibarnang,Noun,"aunt, father's sister",barnang-gurlang dyadic   barnang-mulu,,,
borlgob,Adverb,"secretly, on the sly",,borlgob_sentence_munba-warang-yawudjangan-borlgob-borlgob.wav,Munba-warang yawudjangan borlgob borlgob.,They are sneaking up with poison.
guya,Dual,[Dual],,,Wonggo yiniwun.gan wardirrg-guya any more yiwun-waja-wuya,"Don't take the two girls any more, leave the two of them."
gerle-,Verb,"to taste",,gerle_sentence_nga-gerlen-nana-layin.wav,Nga-gerlen nana layin.,I try that meat.
manymanyma,Coverb,"to lighten [Allative] around",,638545315023306605A LexExampleSentence.wav,Maynmaynma ya-nyangan ngarrugu wiyan,The rain is coming with lightning.
bilidbilid,Noun,"small fish, id. uncertain",,,"bilidbilid wiya-ya ya-jingin, wonggo yawurr-ngun","Bilidbilid is in the water, they don't eat it."
gaygbarla-,Verb,"to sing out, call to",,,,
galayi,Coverb,"exhausted; to be born, to fall, collapse",galayma,638434753211439714A LexExampleSentence.wav,galayi wendi,he fell exhausted
yalamburrma,Noun,alligator,,,,
goyogin,Adjective,"salt, bitter",,,,
mo-goyogin,Noun,lemon,,,,
yi-goyogin,Noun,salt water,,,,
dejbu-,Verb,"to strike flakes off blank",,,,
wu-warli,Noun,"creek, tributary, branch",,wu-warli.wav,,
ngang-,pronominal,"I/you [Singular].; [1st Singular]/[2nd Singular] transitive",,,Wonggo yi-nga-gan nga-yanarri go ngang-wondi na ga gunga,"I can't take it to him, I said; I gave it to you, you take it to him."
gilyilyiba,Coverb,"drip",,,gilyilyiba ya-nyangan wiyan,"Water drips out, wudu wiyan; dijgarrb bul ya-nyangan."
gelngerre-wujban,Noun,bludger,,,,
marndayanga,Noun,"plum",,,"Danani yumin yijad, wurranggiya wiya-warr bulugbulug-mala, ya-dagbarlan guramana","This is a big tree, they went to water to drink, it has gum."
ngunung,Pronoun,[1st Singular] [Dative],,,,
benegin,Noun,wax,,benegin.wav,lege yumin benegin-garang,One tree has wax.
wun-,pronominal,"[3rd Plural] obj",,,,
yiwalng,Noun,"dress, clothes",,yiwalng_sentence_wurren-yawurrangga-toomuchi-yiwalng-wagbawun.wav,Wurren yawurrangga toomuchi yiwalng wagbawun.,Kids go around with no clothes.
gorromogon,Adverb,"middle night, early AM",,,,
mowo-,Verb,"to steal",,mowo-sentence_moworri-yinggi-bega.wav,Moworri yinggi bega.,He stole tobacco from you.
yinggiya,INT PRO,who,,yinggiya_sentence_yinggiya-yi-ngan-bundi.wav,Yinggiya-yi ngan-bundi?,Who hit me? (singular)
worlgorlgba,Coverb,"carry around neck [Inclusive] a dilly bag",,worlgorlgba.wav,worlgorlgba wurr-gandiya wudugurlaman yanima  bidamarla-ya,"they carried a small [dillybag]like this, on their necks"
bag,Coverb,"break",bagbag,bag_sentence_bag-yanjigbe.wav,Bag yanjigbe.,It will break.
yerde-,Verb,"to know, often",,,,
yudubulma,Noun,"to fall flat",,,"yudubulma wendi wurren, marluga",run and fall flat
dirrgiba(n),Adjective,car (archaic word),,wudirrgiban.wav,wu-dirrgiban,car
wolmanbi,Adjective,keep on going,,,,
gulumbirdbirda,Noun,lotus bird,,,,
ngegba-,Verb,"be sick, suffer, die",ngegngegba,638653409107565108ngegba-.wav,"Ngiwa o ngoyogoyo nga-ngegbarri, gaya-wan nga-jingin yiman.","Yesterday or a while back I was hurting, and today I am OK."
jondongma,Coverb,"beat, hit with a stick",,,Warlgin yirr-gindiya arayt yirr-mendiya bagbag wuduwudu yumin  Jondongma yirr-bundiya yarlarrg-barra,"We put a bed down, broke short sticks and beat (bushes)"
ginod,Coverb,sulk,ginodba,ginodba_sentence_ginodba-ya-jingin.wav,Ginodba ya-jingin.,He is sulky.
yowo,Interjection,yes,,,,
galul,Adverb,"on top, up, out",,,Dily wurr-bundiya wumunburra bandiya na ngarraba Nanba-wan werr werr wurr-mendiya diw wud-barriya galul,"They lit it and the rocks got hot, then, they took them out and threw them on top."
ganma,Coverb,"miss, fail to get, of game, fish",,ganma_sentence_ganma-nga-bundi.wav,"Ganma nga-bundi, gayardung yanggi nganunya.","I missed it, didn't get it, it ran away from me."
wumara,Noun,"stone, heavy stone",,,,
yimum-garang,Noun,playing cards,,,,
jilijilij,Coverb,"wriggle, wiggle",jilijilijba,,"wonggo jilijilijba nu-jingi, nu-jingi girrb","Don't wriggle (move about), stay still."
garlarr,Noun,dilly bag,,garlarr.wav,Wurr-mendiya lajlaj barlarra wurr-gindiya na marninggani-ya garlarr wurr-marnburriya yijad,"They got it, stripped it, spread it out in the sun, they made large dilly bags."
yarrarra(ma),Coverb,"feel good",,yarrarrama_sentence_yarrarrama-nga-jingin.wav,Yarrarrama nga-jingin.,I am happy.
giggig,Coverb,"to wet by spitting, spit water",,,"wonggo wurr-gindiya wiyan, jarnurrin wurr-gindiya, jarnurrin wurr-gindiya giggig-mala  yijaga-wunba jarnurrin","They didn't put water (on it), they put saliva, they spat saliva, from their mouths."
durdud-ngana,Noun,doctor (as [Inclusive] someone who removes things),,durdud-ngana.wav,,
naribu,Noun,freshwater mussel,,,"naribu ya-jingin belg-ja munmun, darab","Freshwater mussels are in the mud covered up, bogged in the mud."
bardawurru,Noun,big mob,,,,
guwarrama,Coverb,ignorant stumped not know what to do,,,"Guwarrama nga-jingin, guda nganja, guda nganjigbe","I'm stumped, where am I going? where shall I go?"
merlemerlem,Noun,butterfly,,638545409001239197A LexExampleSentence.wav,yiborrodin merlemerlem yanja diw.,June 21 2024
mangulng,Noun,owl,,,,
yo-,Verb,"spear",,,yayi-yorri,He would've speared him.
muyirr(ma),Coverb,"to gather, collect",,638546272416927893A LexExampleSentence.wav,muyirrma yawurr-gan mayin wayana,They collect the tucker and all
jarralang,Coverb,"crouch",,638494372226411571A LexExampleSentence.wav,"jarralang jingindiya, jarralang dulgin-gu","She sat crouched, also for urinating."
me-yi--,Verb,become,,,wurrguru me-yirri,It became a devil.
bardigi,Noun,`wild peanut',,,jen.gen bardigi marraj,Jen.gen is like peanut.
Wardaman,Noun,"language, people",,,,
lad,Coverb,"get skinny",ladba,lad.wav,Lad yi-wendi.,You got skinny.
wolorrwolorrma,Coverb,"be loose, wiggle",,,wolorrwolorrma ya-jingin gayil,the tooth is loose
reworewo,Noun,dollar bird,,,,
gubilyibilyi,Noun,tadpole,,,,
dodban,Adjective,deep,,dodban_sentence_wiyan-wudodban.wav,wiyan wudodban,deep water
jandangbi,Adjective,for good,,jandangbi_sentence_yanggi-nganuyna-jandangbi.wav,Yanggi nganunya jandangbi.,He went away from me for good.
layin,Noun,"meat",,layin.wav,Yinyalonginbi layin weg yirr-gin.,We swallow soft meat.
mobonyi,Adjective,"at night, nighttime",,,mobonyi morr ya-nyangan,"nighttime, dark is coming."
warnarrin,Noun,fat,,,ngarr-ginyen lagu warnarr-warra,we usually cook with fat
yirrma,Coverb,"company, level",,,yirrma ye-men warlgin mugurn-gu,Blanket and calico put for sleep.
midbidba,Noun,windbreak,,midbidba.wav,Dangindi wurr-mendiya wurr-gindiya midbidba.,
lu-,Verb,"cry",,638495311909645557A LexExampleSentence.wav,,"The child is crying, his mother left him maybe his father hit him."
Wirliyngunyang,Noun,place,,,,
gerren,Noun,spiderweb,,,garra is spiderweb acc. to SW,
jagabirdi,Noun,hip,,jagabirdi.wav,Darang-ba ya-nyangan jagabirdi-warra.,"It comes from the backside, with (having) hips."
jordjordin,Adjective,"mad, crazy",,,Yijordjord-mulu yanima na ngarr-buyin,We crazy ones will all belt each other like this.
daldalman,Adjective,lame,,,"yidaldalman, yidelgujban","Lame, pigeon-toed"
guwe-,Verb,"to put on (clothes), don, go [Inclusive]",,,warljub yanja guwerri nan-ya na,"He goes in, he went in there now."
dami-rlan,Adverb,"back to here, to speaker",,damirlan_sentence_damirlan-yawudjangan.wav,Damirlan yawudjangan.,They come this way.
wabaja,Coverb,"disappear",,,wabaja yanggi,He disappeared.
nyungga-warang,Adjective,"having curly hair, big hair",,638547165044867435A LexExampleSentence.wav,nana bangbun nyungga-warang yijili yijad,23 June 2024
munang,Noun,"taboo, prohibited",,,Munang yirrun-gin wurren yimerrug yawudjangan,We call `murnang' children that come as spirits.
yondorrin,Noun,"road, path",,yondorrin.wav,,
langman,Adjective,"plain, clear place",,,"wu-langma-ya wurranggiya didij, ngadjingin wulangma-ya","they went to a clear place, we sit in a clear place"
wula,Noun,middle (third) finger,,,,
marluga,Noun,old man,,marluga_sentence_marluga-yi-ngan-yanarriya.wav,Marluga-yi ngan-yanarriya.,The old man told me.
yinim,Noun,anus,,,,
dirrg,Coverb,"tie up, handcuff",dirrgba,dirrg_sentence_dirrg-wunggunburr-mendiya.wav,Dirrg wunggunburr-mendiya minini.,They tied the dogs.
wuja,Noun,"fire, wood",,,"Wonggo wuja nunu-marnbun ngawun, nu-jingi wungij-a","Don't make a fire, no, you sit in the dark."
la-,Verb,"to bite",,638495192654652658A LexExampleSentence.wav,Minini-yi yayi-la wurren.,The dog might bite the child.
yerreba-,Verb,"to be shy of, to be ashamed of",,yerreba_sentence_nga-yerreba-yinggi.wav,Nga-yerreba yinggi.,I'm ashamed of/for you.
worrb,Coverb,"many, be abundant, plentiful, heavy",worrba,,wiyan worrb ye-wen.,The rain is falling heavily.
nyurl,Coverb,"dislike, hate",,,nyurl ngan-dan gejgej-gujban,Him hateim me asking bugger.
wurg,Coverb,work,,,,
munin,Noun,"rockcod, `sleepy cod'",,638546257762196264A LexExampleSentence.wav,munin wurr-mendiya lublub wolo-ya,They felt around in the weeds and got rock cod.
Gimiyn,Noun,"Gimiyn, name (Daisy)",,,,
barlarrg,Coverb,"put to dry",,,,
ngewerrin,Noun,"wild coconut",,,wurr-ngundiya  ngewerrin,they ate ngewerrin
lorlorrma,Coverb,"pull, pull out",,638495287391507927A LexExampleSentence.wav,"layin wurr-bundiya, lolorrma wurr-gandiya","They killed beef, pulled it."
wu-jurdbawun,Noun,index finger,,,,
wume,Noun,sky,,,,
won.ga,Coverb,"to be deserted; lonely (of person)",,,"town wurranggi, won.ga ya-yu laglan","They went to town, the camp is deserted"
lag(ba),Coverb,"dry up",,lagba_sentence_lagba-yanja-yinyeyn.wav,Lagba yanja yinyeyn.,The body dries up.
lunggura,Noun,bluetongue,,,yanja warawad-gu ya-ngun mardulg,He goes walkabout and eats cucumber.
ginodba-wujban,Noun,sulky bugger,,,,
dan.guyugun,Adverb,"this side, [Interjection]",,,,
budurrbudurr-wujban,Noun,sulky one,,,,
lun,Coverb,"put down, on the ground, can be used alone or with",,638495316294152475A LexExampleSentence.wav,Lun ngani-yan yinggi.,I'll bring it back and give it to you.
burruga-wi,Adverb,"long ago, considerable time ago, some days ago",,,Burrugayi wudjingindiya marlarluga ngorlogba,The old men sat talking long ago
borlman,Adjective,healthy,,,"wonggo yiborlman, warlad yayu","He's not healthy, he's sick."
nanGanu,Demonstrative,those,,,,
werrelyerr,Coverb,"to hang; be hanging, hang loosely",,,"werrelyerr yumin-ya gi yibumbu, yiwarlng",Hang up the billy in the tree.
gardarrma-warra,Adjective,at dawn,,,,
belyangman,Adjective,red,,,Liwin yibelyangman.,(Red) ochre is red.
yibilingman,Noun,"infant, little baby",,yibilingman.wav,Yibilingman wurren 0:36 mul yawurr-gin ngajarrurru ning yawuluma ngamanda-warra,"They cover the infant, they cut the umbilical cord off with whatsit."
gun.garr,Interrogative,"how, what sort of",gungarrma,gungarrma_sentence_gungarrma-badbad-badbad-wurr-buyirriya-ngamanda-warra.wav,Gun.garrma badbad badbad wurr-buyirriya? Ngamanda-warra?,How did they cover up? With what?
gulurrg,Coverb,"be sorry, have compassion for",gulurrgba,638493603940326474A LexExampleSentence.wav,Ngan-wajarri  mejern gulurrgba nga-jingin gunga,"He left me, I am sorry about him."
dilygba,Coverb,"to wait",,,dilygba ngani-nan,you wait for me.
wulalbin,Noun,tributary,,wulalbin.wav,"Wulalbin wiyan yanjaga ""split"".",A tributary is when water splits.
golng,Coverb,"to form (cloud); to go cloudy of water",,golng_sentence_golng-ya-wudba.wav,Golng ya-wudba marlnga.,A cloud forms.
girrb,Coverb,"be silent, still",,girrb_sentence_girrb-ga-nu-jingi-yibiyan-yayu-yawudyangayan-ngarrugu-borlgob.wav,Girrb-ga nu-jingi yibiyan yayu yawudyangayan ngarrugu borlgob.,"You be quiet, there's people who might sneak up on us."
ginali,Noun,mosquito net,,,"ginali wurr-mendiya bow barrunin, wuduwudu; wurr-mendiya lorlorrma wiya-ya","They used it as a fish net, small one, they dragged it in the water."
magulu,Noun,cheek yam,,,yawurr-bujun gonjo-ya magulu nguyiyin,They dig magulu to eat
wungarru,Noun,rifle,,wungarru.wav,Wungarru-warang ya-nyangan ngarrugu danawunyin.,They're coming towards us with rifles.
garlaja,Noun,"brother; father's brother's son",,,,
gengmiyi-,Verb,"be frightened",,gengmiyi_sentence_ya-gengmiyin-na-ya-jingin-mugurn-wagbawun.wav,"Ya-gengmiyin na, ya-jingin mugurn wagbawun.","He's afraid, he's sleepless."
ngarralulun,Noun,"windbreak",,,ngarralulun yawurr-marnbun dangindi,they make a windbreak
waj,Coverb,to leave,,,waj waj nana marluga,Leave that old man!
jirri,Noun,love magic,,,jirri-warang-nyi gandi,He took her away with love magic.
dibid,Coverb,"tie up, encircle, surround, tangle",subudba; dibiddibid,dibidba_sentence_dibiddibid-yanggiya.wav,Dibiddibid yanggiya momorr.,The string got tangled up.
durlg,Coverb,"to swell up",durlgba,,,
yidiwulg,Noun,"third born, middle child",,yidiwulg.wav,,
Dagoman,Noun,neighbouring territorial group,,,,
mabuga,Noun,"lower abdomen, bladder",,mabuga.wav,mabuga dulgin-gu,Mabuga is for urine.
